panoid,lat,lon,heading_deg,year,month,country_code
gz_2_IFF8qqofjxAUBV75w,50.523177,30.475197,352.31,2011,10,UA
ps6iBGEgmZZvz5yOd0qloA,55.139244,-6.662741,326.15,2011,5,GB
94cXjxmeORKL07uEtT4JJQ,12.688483,79.278473,214.47,2023,2,IN
mgc3OtdLXY6ueHpSYp2NJQ,35.83539,139.596975,102.45,2018,8,JP
oIUI9r5GYMMVhLJwWeJz9w,9.917768,78.172307,161.92,2025,8,IN
Wx9LSAP5gEjGx4Ojnr8T-w,-26.630464,152.954718,96.36,2023,8,AU
M7sUoSNy0S6hP8MPp59PvQ,-37.417398,144.988229,277.9,2024,8,AU
f9U78zJ0VYrJA9FBqsj-FA,57.109393,12.250883,170.13,2024,9,SE
eAcPZiqkVT0igNfY6GTaUQ,36.007623,139.569351,327.86,2022,3,JP
-jBgirXJxvzhNnbazaOlPg,47.102086,-119.343894,90.54,2023,6,US
sVV0s4wbdTT5qDkjsnBTGQ,13.007655,100.929474,247.48,2023,9,TH
2xSuEc6V-vGfX8YSnDJikg,14.454478,79.990374,333.55,2025,7,IN
xmBW-LkIRRyYE-T847Xs2w,26.694534,-80.038017,283.89,2015,1,US
4kBxVwY-4-QhhaPOn3EQlA,49.945158,36.333246,87.89,2015,7,UA
5Ag5l7NqEsvtlVCo6xJAFw,-33.615463,-70.583799,168.42,2012,6,CL
4INQwoQDtKEQQveDnjMcLg,56.17012,9.571708,260.34,2025,4,DK
33JFmHH_e12OdYjWsH-KQw,-6.303168,107.14869,96.14,2019,1,ID
95QLBXcWCx_MV04fIlyzuQ,-22.678977,-47.006008,207.97,2025,7,BR
WTcKp-XuYaD_1SCog-EPdA,51.509731,-3.18742,7.81,2017,7,GB
NRMcE9e5cSTlCSYxNBaqqA,38.75825,-90.750086,171.56,2025,11,US
CCE_Ue7fl-PNWfn03_MVEg,42.377642,-82.919531,333.46,2022,6,US
wWrEzd88xY0CfxEdydEZIA,36.36209,139.56275,96.42,2023,6,JP
AcHWB6V448nGEqizVSc0UQ,23.252471,-106.385376,137.39,2024,4,MX
lJs1skpWQ_JNtt_xLmYmhA,37.679228,-120.95174,192.56,2023,6,US
oZ1TkHR64gqMiIw0Mn0ATA,46.891853,-71.220911,325.74,2022,7,CA
wl6FhJdUbAc00GyK4FkZLg,48.745028,2.355986,149.75,2025,3,FR
wv49kP_UXy7h4kO0_9yIhg,30.408313,-87.321799,223.46,2025,5,US
uFILQh7186ouZVtYEpq8mg,38.031646,-1.235885,157.97,2025,10,ES
2WunuHt6lV-BQYn78rS1ow,52.609453,-2.107358,256.75,2025,7,GB
-XJEmQ58wAu76Ku7gxTzlw,41.863189,-71.446379,250.58,2025,6,US
pO_dE4B4wMAQ39dRkGaOgg,42.125547,-80.040427,340.96,2024,5,US
enj_f-jTaE37z1Ct9Cf7cw,34.026013,131.542551,163.37,2025,4,JP
Az-Wy1JFvLYrnrAuL-Dj7w,55.616538,37.448204,162.21,2021,6,RU
yAKQsLTrgHQzhztY0tmzSA,52.850682,7.671931,247.62,2022,8,DE
qbzrde1nCVx78PiLxDPATA,36.34052,-119.130691,270.3,2013,4,US
IORTVU1DL17xdPVgVHQpNw,33.161836,-117.113096,12.99,2025,9,US
_NEucYBvUjUDueSYqX52dw,32.396004,-86.237394,119.63,2025,3,US
sbWSYoMSkDMtRGprGJCrOA,37.803825,-0.820371,69.78,2023,6,ES
Qoj2_nNOGzwy7zLNAH8DdA,-3.801717,119.661138,321.29,2025,2,ID
4MVAn0z1gqYE1Uq3qwNP9Q,52.347003,35.392109,344.8,2021,4,RU
91GothPip2Q1Pau8XgwcNQ,59.479936,17.736705,205.5,2019,5,SE
n438sSzrzFNEYrR9TF59XQ,42.883036,75.102351,102.97,2015,10,KG
jmvYKullU6Dvmnq4d0NO6Q,36.532154,139.970194,316.9,2023,4,JP
vVASnYH91-fLwRugiPlPUQ,32.969728,-97.424295,319.02,2025,8,US
PNsS2qHIIfIECTB6IjygIQ,61.828322,16.104109,146.52,2024,6,SE
kAODxJUbzynm2yHM_3myOA,28.004159,-82.270128,163.69,2025,5,US
LEQT7zzmcnkRGPFZpOkZ9A,40.701893,-75.202977,338.2,2024,8,US
iNB4xKfjvlE1ok5WyHQHLw,48.108707,11.479795,87.19,2022,5,DE
UDAyFkGXPRbx9PMGrsGp8w,28.170516,-81.824487,24.04,2024,11,US
H-RcQxALHf6jTYLebGPzaw,44.133484,15.228267,99.88,2019,6,HR
QzekJgOFkXAy6U3m80d1JQ,33.923152,-117.288422,358.63,2025,12,US
7qGfyuCnts1wiwdMyxH5Fw,39.004527,-94.539715,92.36,2024,6,US
3TWXMD73b1t5RrS-S36vYw,48.842706,2.207064,354.95,2025,9,FR
KFmDpgZXWXTIca4cFhd0ew,-12.077126,-75.206606,70.54,2022,5,PE
pznMilEhEHAUlnw-eHTtmQ,0.356992,-78.110416,181.85,2014,11,EC
w50YoAirzBHNGsC0LCYopw,31.715519,-106.481064,179.94,2019,1,MX
qgWFuZtGZrTN1yYBWDgTxw,21.185353,79.660558,21.97,2023,5,IN
0-MzBQzJdcgq2vv-Zcb5ow,36.789452,-2.637007,308.99,2023,8,ES
NDFU55PnzcMFYwFoXZd_DA,62.353376,133.570885,189.05,2021,8,RU
wNrHupfI9TwzzJ9DXwauXg,52.34958,4.8417,195.16,2025,8,NL
7KC51N_x6iMVLNAUnQzC8g,8.92317,8.394294,277.6,2022,6,NG
XBYk6LA4AOUd4PJAWsKCGQ,53.781814,20.451374,144.36,2022,5,PL
h2TBvsfLjU7bRbdgThUUEQ,26.104939,-80.234466,92.38,2025,2,US
pxSQtwXJY7LEHVZaebuEoA,41.747042,12.350283,47.77,2025,8,IT
IRJXSzQDIip8hilQw8e5RQ,29.968952,-95.248168,358.51,2023,7,US
FgmzhI_wxi8e77ilEHQ1WQ,39.255856,9.111288,160.63,2022,6,IT
t9jLWof4q8psSHDbGfiSuQ,46.700047,-92.05326,139.71,2023,6,US
S-R4m7W_Qp2Vdb-yDdJlgA,40.198501,-122.206877,179.81,2026,1,US
8fEw8rN62EV-C0gQPWs3UA,-27.275583,-50.585055,158.66,2022,11,BR
swYqBuaZ2a58VR1On8QYUg,27.162879,75.372065,177.46,2022,12,IN
tEphrfYR08cVLcvBPZB9GQ,25.307464,51.459079,350.54,2022,11,QA
SP5rg4kuCY-ilI-K_PS_6A,-6.363967,106.880328,9.97,2018,4,ID
NHQ3Flr5ZDbchHDhnk1kHw,55.886719,37.600294,48.09,2012,8,RU
BSpZ6hQ3MFijQjYrIkAvpw,38.470453,-121.413691,303.89,2015,8,US
RAarzo_4ACZO__dI40B9dg,32.893901,-96.990252,89.65,2025,5,US
y4APqaB1omm6UF1Z4NDKng,52.476614,-2.124221,246.22,2025,9,GB
atABqVv0LUBTn7VShIcnOA,52.298401,21.097434,162.9,2022,10,PL
vSXvnMTuWKY9INgmbVYUeA,-43.616704,172.386595,101.3,2025,3,NZ
wQpL1lOkorrJzi5utpL1sQ,33.995548,-118.151666,22.09,2020,12,US
JtAaIa7gYqkWMGZFQnBGpw,51.549876,5.975525,220.23,2024,8,NL
elvB7X0CvygT_cDX_7t1xA,37.810321,-87.566171,126.8,2025,9,US
KWOjBfRaZ-7HBF2wO8M5IA,-29.160379,-59.677416,187.17,2022,9,AR
kJxNfY66bAO2TYxR4y57xQ,34.070881,-96.758021,88.89,2025,11,US
UbAhy0MS2Fz-UeTmKzhELA,59.237095,10.964102,30.64,2024,5,NO
